FunnelStage,Count
UNIVERSE,3136
EVENT_DETECTED,33083
CANDIDATE,17848
SETUP_PASS,535
SETUP_FAIL,17313
RULE_SCORE_PASS,754
RULE_SCORE_FAIL,17094
SIMILARITY_PASS,0
SIMILARITY_FAIL,0
ML_PASS,0
ML_FAIL,0
META_BUY,57
META_BUY_SMALL,0
META_WAIT,0
META_NO_TRADE,17791
EDGE_PASS,535
EDGE_FAIL,17313
RISK_PASS,500
RISK_FAIL,17348
INSUFFICIENT_CASH,241
STALE_DATA,0
SPREAD_FAIL,0
COOLDOWN,0
REENTRY_BLOCK,0
ORDER_CREATED,57
ORDER_SENT,57
ORDER_ACK,57
PARTIAL_FILL,0
FILLED,165
UNFILLED,0
POSITION_OPEN,57
STOP,46
TARGET,0
SCALE_OUT,33
TARGET_2,18
TRAILING_STOP,0
TREND_BREAK,0
TIME_STOP,0
EOD,11
EMERGENCY,0
