TradeID,Symbol,Name,Strategy,TimeHorizon,EntryTime,ExitTime,HoldingMinutes,EntryPrice,ExitPrice,Shares,GrossPnL,Fees,Tax,Slippage,NetPnL,ReturnPct,RMultiple,ExitReason,IsScaleOut
SO_POS_459510_1767313200_2_1767314400,459510,나우로보틱스,INT_MOMENTUM_IGNITION_SCALE_OUT,INTRADAY,2026-01-02 09:20:00.300000,2026-01-02 09:40:00,20.0,39950.0,40550.0,375,225000.0,4528.12,27371.25,0.0,193100.62,1.50%,6.0,+1R 도달 (30% 익절),True
SO_POS_459510_1767313200_3_1767314400,459510,나우로보틱스,INT_ORB_SCALE_OUT,INTRADAY,2026-01-02 09:20:00.300000,2026-01-02 09:40:00,20.0,39950.0,40550.0,375,225000.0,4528.12,27371.25,0.0,193100.62,1.50%,6.0,+1R 도달 (30% 익절),True
SO_POS_459510_1767313200_2_1767315000,459510,나우로보틱스,INT_MOMENTUM_IGNITION_SCALE_OUT,INTRADAY,2026-01-02 09:20:00.300000,2026-01-02 09:50:00,30.0,39950.0,40900.0,263,249850.0,3189.53,19362.06,0.0,227298.41,2.38%,9.5,+2R 도달 (30% 익절),True
SO_POS_459510_1767313200_3_1767315000,459510,나우로보틱스,INT_ORB_SCALE_OUT,INTRADAY,2026-01-02 09:20:00.300000,2026-01-02 09:50:00,30.0,39950.0,40900.0,263,249850.0,3189.53,19362.06,0.0,227298.41,2.38%,9.5,+2R 도달 (30% 익절),True
EXIT_POS_000660_1767312600_1,000660,SK하이닉스,INT_MOMENTUM_IGNITION,INTRADAY,2026-01-02 09:10:00.300000,2026-01-02 10:20:00,70.0,16090.0,16140.0,1666,83300.0,8054.28,48400.63,6664.0,26845.09,0.31%,0.25,TIME_STOP: 복합 정체 포지션 청산,False
SO_POS_005930_1767317100_4_1767317700,005930,삼성전자,INT_ORB_SCALE_OUT,INTRADAY,2026-01-02 10:25:00.300000,2026-01-02 10:35:00,10.0,70600.0,70800.0,169,33800.0,3584.49,21537.36,0.0,8678.15,0.28%,0.14,+1R 도달 (30% 익절),True
EXIT_POS_005930_1767317100_4,005930,삼성전자,INT_ORB,INTRADAY,2026-01-02 10:25:00.300000,2026-01-02 10:40:00,15.0,70600.0,70600.0,395,0.0,8366.1,50196.6,0.0,-58562.7,0.00%,0.0,"스톱로스 도달 (70,600원)",False
EXIT_POS_459510_1767313200_2,459510,나우로보틱스,INT_MOMENTUM_IGNITION,INTRADAY,2026-01-02 09:20:00.300000,2026-01-02 10:40:00,80.0,39950.0,40050.0,615,61500.0,7380.0,44335.35,-15375.0,9784.65,0.25%,1.0,Trailing Stop / EMA9 이탈 청산,False
EXIT_POS_459510_1767313200_3,459510,나우로보틱스,INT_ORB,INTRADAY,2026-01-02 09:20:00.300000,2026-01-02 10:40:00,80.0,39950.0,40050.0,615,61500.0,7380.0,44335.35,-15375.0,9784.65,0.25%,1.0,Trailing Stop / EMA9 이탈 청산,False
SO_POS_005380_1767318000_5_1767318900,005380,현대자동차,INT_MOMENTUM_IGNITION_SCALE_OUT,INTRADAY,2026-01-02 10:40:00.300000,2026-01-02 10:55:00,15.0,37550.0,38250.0,303,212100.0,3445.11,20861.55,0.0,187793.34,1.86%,3.5,+1R 도달 (30% 익절),True
SO_POS_005380_1767318000_5_1767319800,005380,현대자동차,INT_MOMENTUM_IGNITION_SCALE_OUT,INTRADAY,2026-01-02 10:40:00.300000,2026-01-02 11:10:00,30.0,37550.0,38750.0,212,254400.0,2426.34,14787.0,0.0,237186.66,3.20%,6.0,+2R 도달 (30% 익절),True
EXIT_POS_459510_1767318300_6,459510,나우로보틱스,INT_VWAP_PULLBACK,INTRADAY,2026-01-02 10:45:00.300000,2026-01-02 11:20:00,35.0,40250.0,40150.0,840,-84000.0,10130.4,60706.8,-2520.0,-154837.2,-0.25%,-0.29,TIME_STOP: 복합 정체 포지션 청산,False
EXIT_POS_459510_1767318300_7,459510,나우로보틱스,INT_ORB,INTRADAY,2026-01-02 10:45:00.300000,2026-01-02 11:20:00,35.0,40350.0,40150.0,840,-168000.0,10143.0,60706.8,-2520.0,-238849.8,-0.50%,-0.44,TIME_STOP: 복합 정체 포지션 청산,False
SO_POS_005930_1767320400_8_1767321000,005930,삼성전자,INT_VWAP_PULLBACK_SCALE_OUT,INTRADAY,2026-01-02 11:20:00.300000,2026-01-02 11:30:00,10.0,70700.0,71800.0,169,185900.0,3612.38,21841.56,0.0,160446.07,1.56%,1.83,+1R 도달 (30% 익절),True
SO_POS_005380_1767320700_9_1767322800,005380,현대자동차,INT_VWAP_PULLBACK_SCALE_OUT,INTRADAY,2026-01-02 11:25:00.300000,2026-01-02 12:00:00,35.0,38850.0,39450.0,304,182400.0,3570.48,21587.04,0.0,157242.48,1.54%,1.71,+1R 도달 (30% 익절),True
SO_POS_005380_1767320700_9_1767323700,005380,현대자동차,INT_VWAP_PULLBACK_SCALE_OUT,INTRADAY,2026-01-02 11:25:00.300000,2026-01-02 12:15:00,50.0,38850.0,39900.0,213,223650.0,2516.06,15297.66,0.0,205836.28,2.70%,3.0,+2R 도달 (30% 익절),True
EXIT_POS_005930_1767320400_8,005930,삼성전자,INT_VWAP_PULLBACK,INTRADAY,2026-01-02 11:20:00.300000,2026-01-02 12:30:00,70.0,70700.0,70700.0,396,0.0,8399.16,50394.96,0.0,-58794.12,0.00%,0.0,"스톱로스 도달 (70,700원)",False
SO_POS_459510_1767324900_10_1767326400,459510,나우로보틱스,INT_VWAP_PULLBACK_SCALE_OUT,INTRADAY,2026-01-02 12:35:00.300000,2026-01-02 13:00:00,25.0,40650.0,41200.0,343,188650.0,4211.18,25436.88,0.0,159001.94,1.35%,1.83,+1R 도달 (30% 익절),True
